fecha,tienda,país,descargas
2026-05-21,Google Play,MX,8
2026-05-22,Google Play,MX,4
2026-05-23,Google Play,MX,3
2026-05-24,Google Play,MX,1
2026-05-25,Google Play,MX,0
2026-05-26,Google Play,MX,2
2026-05-27,Google Play,MX,0
2026-05-28,Google Play,MX,1
2026-05-29,Google Play,MX,1
2026-05-30,Google Play,MX,1
2026-05-31,Google Play,MX,0
2026-06-01,Google Play,MX,1
2026-06-02,Google Play,MX,0
2026-06-03,Google Play,MX,2
2026-06-04,Google Play,MX,0
2026-06-05,Google Play,MX,1
2026-06-06,Google Play,MX,0
2026-06-07,Google Play,MX,0
2026-06-08,Google Play,MX,0
2026-06-09,Google Play,MX,16
2026-06-10,Google Play,MX,3
2026-06-11,Google Play,??,1
2026-06-11,Google Play,BR,1
2026-06-11,Google Play,ES,0
2026-06-11,Google Play,MX,2
2026-06-11,Google Play,US,1
2026-06-12,Google Play,ES,0
2026-06-12,Google Play,MX,4
2026-06-13,Google Play,CL,1
2026-06-13,Google Play,ES,1
2026-06-13,Google Play,IT,3
2026-06-13,Google Play,LB,2
2026-06-13,Google Play,MX,15
2026-06-13,Google Play,VE,0
2026-06-14,Google Play,CL,0
2026-06-14,Google Play,ES,0
2026-06-14,Google Play,IT,2
2026-06-14,Google Play,LB,0
2026-06-14,Google Play,MX,12
2026-06-14,Google Play,VE,0
2026-06-15,App Store,CO,1
2026-06-15,App Store,MX,72
2026-06-15,App Store,PE,2
2026-06-15,App Store,US,3
2026-06-15,Google Play,BR,1
2026-06-15,Google Play,CL,0
2026-06-15,Google Play,ES,0
2026-06-15,Google Play,IT,1
2026-06-15,Google Play,LB,0
2026-06-15,Google Play,MX,11
2026-06-15,Google Play,PR,1
2026-06-15,Google Play,US,3
2026-06-15,Google Play,VE,0
2026-06-16,App Store,CR,1
2026-06-16,App Store,ES,3
2026-06-16,App Store,MX,42
2026-06-16,App Store,US,4
2026-06-16,Google Play,BR,0
2026-06-16,Google Play,CL,0
2026-06-16,Google Play,ES,0
2026-06-16,Google Play,IT,0
2026-06-16,Google Play,LB,0
2026-06-16,Google Play,MX,18
2026-06-16,Google Play,PR,4
2026-06-16,Google Play,US,0
2026-06-16,Google Play,VE,0
2026-06-17,App Store,IT,1
2026-06-17,App Store,MX,25
2026-06-17,App Store,PL,1
2026-06-17,App Store,US,1
2026-06-17,Google Play,BR,0
2026-06-17,Google Play,CL,0
2026-06-17,Google Play,ES,0
2026-06-17,Google Play,IT,0
2026-06-17,Google Play,LB,0
2026-06-17,Google Play,MX,2
2026-06-17,Google Play,PR,0
2026-06-17,Google Play,US,0
2026-06-17,Google Play,VE,0
2026-06-18,App Store,CO,1
2026-06-18,App Store,ES,1
2026-06-18,App Store,MX,22
2026-06-18,App Store,US,5
2026-06-18,App Store,VE,1
2026-06-18,Google Play,BR,0
2026-06-18,Google Play,CL,0
2026-06-18,Google Play,ES,0
2026-06-18,Google Play,IL,0
2026-06-18,Google Play,IT,0
2026-06-18,Google Play,LB,0
2026-06-18,Google Play,MX,9
2026-06-18,Google Play,PE,1
2026-06-18,Google Play,PR,0
2026-06-18,Google Play,US,0
2026-06-18,Google Play,VE,0
2026-06-19,App Store,MX,2
2026-06-19,App Store,US,1
2026-06-19,Google Play,BR,0
2026-06-19,Google Play,CL,0
2026-06-19,Google Play,ES,0
2026-06-19,Google Play,IL,0
2026-06-19,Google Play,IT,1
2026-06-19,Google Play,LB,0
2026-06-19,Google Play,MX,2
2026-06-19,Google Play,PE,0
2026-06-19,Google Play,PR,1
2026-06-19,Google Play,US,0
2026-06-19,Google Play,VE,0
2026-06-20,App Store,AR,1
2026-06-20,App Store,GB,1
2026-06-20,App Store,MX,9
2026-06-20,App Store,SV,1
2026-06-20,App Store,US,4
2026-06-20,Google Play,BR,0
2026-06-20,Google Play,CL,0
2026-06-20,Google Play,DO,1
2026-06-20,Google Play,ES,0
2026-06-20,Google Play,GT,2
2026-06-20,Google Play,IL,0
2026-06-20,Google Play,IT,0
2026-06-20,Google Play,LB,0
2026-06-20,Google Play,MX,5
2026-06-20,Google Play,PE,0
2026-06-20,Google Play,PR,2
2026-06-20,Google Play,US,1
2026-06-20,Google Play,VE,1
2026-06-21,App Store,IT,1
2026-06-21,App Store,MX,11
2026-06-21,App Store,US,1
2026-06-21,Google Play,BR,0
2026-06-21,Google Play,CL,0
2026-06-21,Google Play,DO,0
2026-06-21,Google Play,ES,0
2026-06-21,Google Play,GT,0
2026-06-21,Google Play,IL,0
2026-06-21,Google Play,IT,0
2026-06-21,Google Play,LB,0
2026-06-21,Google Play,MX,2
2026-06-21,Google Play,PE,0
2026-06-21,Google Play,PR,0
2026-06-21,Google Play,US,0
2026-06-21,Google Play,VE,0
2026-06-22,App Store,MX,10
2026-06-22,Google Play,BR,0
2026-06-22,Google Play,CL,0
2026-06-22,Google Play,DO,0
2026-06-22,Google Play,ES,0
2026-06-22,Google Play,GT,0
2026-06-22,Google Play,IL,0
2026-06-22,Google Play,IT,0
2026-06-22,Google Play,LB,0
2026-06-22,Google Play,MX,2
2026-06-22,Google Play,PE,0
2026-06-22,Google Play,PR,0
2026-06-22,Google Play,US,0
2026-06-22,Google Play,VE,0
2026-06-23,App Store,MX,20
2026-06-23,App Store,US,3
2026-06-23,Google Play,BR,0
2026-06-23,Google Play,CL,0
2026-06-23,Google Play,CR,1
2026-06-23,Google Play,DO,0
2026-06-23,Google Play,ES,0
2026-06-23,Google Play,GT,0
2026-06-23,Google Play,IL,0
2026-06-23,Google Play,IT,0
2026-06-23,Google Play,LB,0
2026-06-23,Google Play,MX,9
2026-06-23,Google Play,PE,0
2026-06-23,Google Play,PR,0
2026-06-23,Google Play,US,0
2026-06-23,Google Play,VE,0
2026-06-24,App Store,MX,5
2026-06-24,App Store,US,1
2026-06-24,Google Play,BR,0
2026-06-24,Google Play,CL,0
2026-06-24,Google Play,CR,0
2026-06-24,Google Play,DO,0
2026-06-24,Google Play,ES,0
2026-06-24,Google Play,GT,0
2026-06-24,Google Play,IL,0
2026-06-24,Google Play,IT,0
2026-06-24,Google Play,LB,0
2026-06-24,Google Play,MX,2
2026-06-24,Google Play,PE,0
2026-06-24,Google Play,PR,0
2026-06-24,Google Play,US,0
2026-06-24,Google Play,VE,0
2026-06-25,App Store,MX,8
2026-06-25,App Store,US,1
2026-06-25,App Store,VE,1
2026-06-25,Google Play,BR,0
2026-06-25,Google Play,CL,0
2026-06-25,Google Play,CR,0
2026-06-25,Google Play,DO,0
2026-06-25,Google Play,ES,0
2026-06-25,Google Play,GT,0
2026-06-25,Google Play,IL,0
2026-06-25,Google Play,IT,0
2026-06-25,Google Play,LB,0
2026-06-25,Google Play,MX,5
2026-06-25,Google Play,PE,0
2026-06-25,Google Play,PR,0
2026-06-25,Google Play,US,0
2026-06-25,Google Play,VE,0
2026-06-26,App Store,MX,5
2026-06-26,App Store,US,2
2026-06-26,Google Play,BR,0
2026-06-26,Google Play,CL,0
2026-06-26,Google Play,CR,0
2026-06-26,Google Play,DO,0
2026-06-26,Google Play,ES,0
2026-06-26,Google Play,GT,0
2026-06-26,Google Play,IL,0
2026-06-26,Google Play,IT,0
2026-06-26,Google Play,LB,0
2026-06-26,Google Play,MX,1
2026-06-26,Google Play,PE,0
2026-06-26,Google Play,PR,0
2026-06-26,Google Play,US,1
2026-06-26,Google Play,VE,0
2026-06-27,App Store,MX,4
2026-06-27,App Store,US,1
2026-06-27,Google Play,BR,0
2026-06-27,Google Play,CL,0
2026-06-27,Google Play,CR,0
2026-06-27,Google Play,DO,0
2026-06-27,Google Play,ES,0
2026-06-27,Google Play,GT,0
2026-06-27,Google Play,IL,0
2026-06-27,Google Play,IT,0
2026-06-27,Google Play,LB,0
2026-06-27,Google Play,MX,1
2026-06-27,Google Play,PE,0
2026-06-27,Google Play,PR,0
2026-06-27,Google Play,TT,1
2026-06-27,Google Play,US,0
2026-06-27,Google Play,VE,0
2026-06-28,App Store,ES,1
2026-06-28,App Store,GT,1
2026-06-28,App Store,MX,5
2026-06-28,App Store,US,1
2026-06-28,Google Play,BR,0
2026-06-28,Google Play,CL,0
2026-06-28,Google Play,CR,0
2026-06-28,Google Play,DO,0
2026-06-28,Google Play,ES,0
2026-06-28,Google Play,GT,0
2026-06-28,Google Play,IL,0
2026-06-28,Google Play,IT,0
2026-06-28,Google Play,LB,0
2026-06-28,Google Play,MX,1
2026-06-28,Google Play,PE,0
2026-06-28,Google Play,PR,0
2026-06-28,Google Play,TT,0
2026-06-28,Google Play,US,0
2026-06-28,Google Play,VE,0
2026-06-29,App Store,MX,3
2026-06-29,Google Play,BR,0
2026-06-29,Google Play,CL,0
2026-06-29,Google Play,CR,0
2026-06-29,Google Play,DO,0
2026-06-29,Google Play,ES,0
2026-06-29,Google Play,GT,0
2026-06-29,Google Play,IL,0
2026-06-29,Google Play,IT,0
2026-06-29,Google Play,LB,0
2026-06-29,Google Play,MX,2
2026-06-29,Google Play,PE,0
2026-06-29,Google Play,PR,0
2026-06-29,Google Play,TT,0
2026-06-29,Google Play,US,0
2026-06-29,Google Play,VE,0
2026-06-30,App Store,CL,1
2026-06-30,App Store,GT,2
2026-06-30,App Store,MX,4
2026-06-30,Google Play,BR,0
2026-06-30,Google Play,CL,0
2026-06-30,Google Play,CR,0
2026-06-30,Google Play,DO,0
2026-06-30,Google Play,ES,0
2026-06-30,Google Play,GT,0
2026-06-30,Google Play,IL,0
2026-06-30,Google Play,IT,0
2026-06-30,Google Play,LB,0
2026-06-30,Google Play,MX,2
2026-06-30,Google Play,PE,0
2026-06-30,Google Play,PR,0
2026-06-30,Google Play,TT,0
2026-06-30,Google Play,US,0
2026-06-30,Google Play,VE,0
2026-07-01,App Store,CO,1
2026-07-01,App Store,GT,3
2026-07-01,App Store,MX,10
2026-07-01,App Store,US,2
2026-07-01,Google Play,??,1
2026-07-01,Google Play,BR,0
2026-07-01,Google Play,CL,0
2026-07-01,Google Play,CR,0
2026-07-01,Google Play,DO,0
2026-07-01,Google Play,ES,0
2026-07-01,Google Play,GT,1
2026-07-01,Google Play,IL,0
2026-07-01,Google Play,IT,0
2026-07-01,Google Play,LB,0
2026-07-01,Google Play,MX,1
2026-07-01,Google Play,PE,0
2026-07-01,Google Play,PR,0
2026-07-01,Google Play,SV,0
2026-07-01,Google Play,TT,0
2026-07-01,Google Play,US,0
2026-07-01,Google Play,VE,0
2026-07-02,App Store,BR,1
2026-07-02,App Store,ES,2
2026-07-02,App Store,MX,8
2026-07-02,Google Play,BR,0
2026-07-02,Google Play,CL,0
2026-07-02,Google Play,CR,0
2026-07-02,Google Play,DO,0
2026-07-02,Google Play,ES,0
2026-07-02,Google Play,GT,0
2026-07-02,Google Play,IL,0
2026-07-02,Google Play,IT,0
2026-07-02,Google Play,LB,0
2026-07-02,Google Play,MX,2
2026-07-02,Google Play,PE,0
2026-07-02,Google Play,PR,0
2026-07-02,Google Play,SV,0
2026-07-02,Google Play,TT,0
2026-07-02,Google Play,US,0
2026-07-02,Google Play,VE,0
2026-07-02,Google Play,ZA,1
2026-07-03,App Store,DK,1
2026-07-03,App Store,EC,1
2026-07-03,App Store,MX,2
2026-07-03,Google Play,BR,0
2026-07-03,Google Play,CL,0
2026-07-03,Google Play,CR,0
2026-07-03,Google Play,DO,0
2026-07-03,Google Play,ES,0
2026-07-03,Google Play,GT,0
2026-07-03,Google Play,IL,0
2026-07-03,Google Play,IT,0
2026-07-03,Google Play,LB,0
2026-07-03,Google Play,MX,2
2026-07-03,Google Play,PE,0
2026-07-03,Google Play,PR,0
2026-07-03,Google Play,SV,0
2026-07-03,Google Play,TT,0
2026-07-03,Google Play,US,1
2026-07-03,Google Play,VE,0
2026-07-03,Google Play,ZA,0
2026-07-04,App Store,MX,3
2026-07-04,App Store,US,1
